Nom;Nombre;Etat;Categorie;Image
Call of Cthulhu : Curse of Cthulhu;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/11838.jpg
Call of Cthulhu : Delta green;1;Tres bof;role;https://www.legrog.org/visuels/couvertures/1203.jpg
Call of Cthulhu : edition 5.5;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/4891.jpg
Call of Cthulhu : Fragments d'epouvante (Le deuxieme supplemenr);1;ok;role;https://fr.shopping.rakuten.com/photo/1185146062_L.jpg
Call of Cthulhu : Investigators' companion;1;Bon etat;role;https://i.ebayimg.com/images/g/5yQAAOSwANZkGJEI/s-l1200.webp
Call of Cthulhu : Investigators' companion volume 2;1;Bon etat;role;https://m.media-amazon.com/images/I/61ogDyZj8SL._AC_UF1000,1000_QL80_.jpg
Call of Cthulhu : Keeper's compendium;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/3163.jpg
Call of Cthulhu : Kingsport, la cite des brumes;1;Parfait etat;role;https://www.legrog.org/visuels/couvertures/3310.jpg
Call of Cthulhu : Les astres sont propices;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/2962.jpg
Call of Cthulhu : Les contrees du reve revisitees;1;Tres bon etat;role;https://www.legrog.org/visuels/couvertures/4864.jpg
Call of Cthulhu : Les mysteres d'Arkham;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/828.jpg
Call of Cthulhu : Les oeufs de Karlatt;1;Bon etat;role;https://m.media-amazon.com/images/I/5183KJQE6XL._AC_UF1000,1000_QL80_.jpg
Call of cthulhu : Materiel du gardien;1;Bon etat;role;https://static.fnac-static.com/multimedia/Images/FR/MDM/1c/fb/f8/16317212/1540-1/tsp20230505233800/Jeu-de-roles-Asmodee-L-Appel-de-Cthulhu-Les-Acceoires-du-Gardien.jpg
Call of Cthulhu : Nightmare agency;1;Mauvais etat;role;https://www.legrog.org/visuels/couvertures/6614.jpg
Call of Cthulhu : Retour a Dunwich;1;Tres bon etat;role;https://www.legrog.org/visuels/couvertures/3311.jpg
Call of Cthulhu : Terreur sur l'Orient Express;1;OK;role;https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/719nrQnk28L._AC_UF1000,1000_QL80_.jpg
Call of Cthulhu : The vanishing conjurer / the statue of the sorcerer;1;Bon etat;role;https://1.bp.blogspot.com/-PSEC4Cb62II/VuL6r2MnnBI/AAAAAAAAIX4/G9m2v8CfqU4hkQU5z3GVDDVKHkh58edyw/s1600/vanishing_conjurer.jpg
Chill : Le bayou de la mort;1;Bon etat;role;https://fr.shopping.rakuten.com/photo/1984088097.jpg
Chill : Le village du crepuscule;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/3243.jpg
Conspirations;1;ok;role;https://www.legrog.org/visuels/couvertures/188.jpg
D&D5e Dungeon master guide;1;Tres bon etat;role;https://m.media-amazon.com/images/I/81cw5IcoM+L._AC_UF1000,1000_QL80_.jpg
D & D5e Player's HAndbook;2;Tres bon etat;role;https://m.media-amazon.com/images/I/811dDmyv-pL._AC_UF1000,1000_QL80_.jpg
D&D5e Monster Manual;1;Bon etat;role;https://cdn2.philibertnet.com/371363-thickbox_default/dungeons-dragons-5e-ed-monster-manual-manuel-des-monstres-version-francaise.jpg
D&D3e: Manuel des psioniques;1;Tres bon etat;role;https://www.legrog.org/visuels/couvertures/5405.jpg
Darkness Revealed 1 - Descent into darkness;1;Bof;role;https://www.letempledujeu.fr/images/531.jpg?1585855369
Darkness Revealed 2- Passage Throught shadow;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/4438.jpg
Darkness Revealed 3 - Ascent into light;1;Bon etat;role;https://www.legrog.org/visuels/couvertures/4716.jpg
AD&D Deities & Demigos;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Dirty secrets;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Donjons & Dragons Jeu d'aventures Fantastiques Manuel de Base;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Dungeon Module D1-2 Descent into the depths of the Earth;1;Tres bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
D&D3e manuel des joueurs;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
D&D4e Bestiaires fantastique;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Dungeons Dragons Dons par ordre alphabetique;1;bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Dungons & Dragons- Les Royaumes oublies;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Eleckase;2;Bon etat et bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Eleckas : Terre;1;Bon etat sauf 4eme couv;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Elric ! : Atlas of the young kingdoms - Vol 1 : The Northern continent;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Elric dark fantasy role playing;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Fate Core system ;1;Neuf ;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Exalted;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Gurps;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Gurps Conspiracy;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Gurps Espace jouez dans les mondes de l'avenir;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Gurps supers adventures;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
GURPS: Operation Endgame;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Hollow Earth expedition Ecran et livret;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
D&D4e ecran ;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Sombre regle ;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
6 braquos;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Heavy Gear;1;Bon etat plastifie;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
INS MMV magna veritas ;1;Bon etat ;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R3e edition;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R l'ecran du maitre;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R the tomb of Iuchiban;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R Aventures dans l'empire d'Emeraude;2;Bon etat et bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R Bearers of Jade;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie de la grue;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie des clans mineurs;1;OK/bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie du crabe;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie du dragon;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie du lion;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie du phenix;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R la voie du scorpion;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R le crepuscule de l'honneur;1;Bo etat ;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R les quatre vents;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R Palais d'hiver kyuden kakita;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R Palais d'hiver kyuden seppun;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
L5R Unexpected Allies;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Le Livre Des Cinq Anneaux -l'ecran du Maitre;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Les secrets de la 7ieme : Guide du maitre;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Les secrets de la 7ieme mer: Voir Charousse et mourir;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Mech Warrior -Compagnon;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Mech Warrior -Third edition;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Mech Warrior's Guide to the clans;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
D&D3e monster manual ;2;Tres bon etat et bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon : Noblesse oblige;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon : Tales of Magic and miracles;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon Chevalerie et Romance;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon le Roi oublie;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon: Chevaliers aventureux;1;Tres bon etat ;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon: Montagne sauvage;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Pendragon: Sang et luxure;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Prophecy : 2ieme edition : Quand soufflent les dragons;1;OK;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Prophecy : supplement secrets du monde et scenario;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun - Contacts;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun - Demon dans la bouteille;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun - Le Grimoire;1;Mauvais etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun - Silver Angel;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun - Tirez sur le dragon;1;Mauvais etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun : Le guide de Seattle;1;Mauvais etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Shadowrun : Mercurial;1;Ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Star Wars : rulebook de20 ;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Steamshadows : L'heritage de Sir Stockwell;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Stormbringer : Demons et magie;1;ok;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Stormbringer : Soliel de sang;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Trinity : Hope sacrifice unity;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Trinity Held Report Extrasolar Colonies;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Trinity Held Report Media;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Trinity Held Report Psi Laws;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Trinity Technology Manual;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Chronica Transylvania I : marees des tenebres;1;mauvais etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Chronica Transylvania II : le fils du dragon;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Chronica Transylvania III : mauvais augures;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Chronica Transylvania IV : l'ascendant du dragon;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Eveil diablerie au Mexique;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampires : l'age des tenebres ;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : L'age des tenebres : Le guide des joueurs;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Lair of the hidden;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Les liens du sang;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Les nuits des propheties;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Les secrets du monde des tenebres;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Liber Constantinopolis;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : Liber Transylvania;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : players guide;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : The dark ages - Bitter Crusade;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire : The red sign;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire the Masquerade;1;bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire The Masquerade : The Last Supper Blood and Fire;1;bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Vampire the Masquerade :The Last supper;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Warhammer;2;Tres bon etat Plastifie;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Warhammer 40000;1;Tres bon etat Plastifie;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf - Rage across the world : Volume 1;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf - Storytllers Companion;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf - The apocalypse;2;Tres bon etat et bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf : Litann of the tribes Volume 2;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf : Litann of the tribes Volume 3;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf : Litann of the tribes Volume 4;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf : Players guide to Garou;1;Parfait etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Werewolf: Caerns Lieux de pouvoir;1;Parfait etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Zombies : Pour des soirees mortelles;1;Tres bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Warhammer battle ;1;Bon etat ;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Warhammer : AoS Blacktalon;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Warhammer  : AoS Black Pyramid;1;Bof ;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Warhammer40k : Les cendres de Prospero ;1;Bof;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Sombre 2;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Sombre 3;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
Sombre 4;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
D&D3.5e Dons par un ordre alphabetique;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
D&D3.5e Recueil de magie;1;Bon etat;role;https://www.blog.leroliste.com/wp-content/uploads/article-histoire-des-1600x1067.jpg
